iter	RMSE
220	0.2016386002
221	0.200119442
222	0.1989542009
223	0.1977658301
224	0.1965207328
225	0.1946253983
226	0.1933379472
227	0.1927288819
228	0.1915555468
229	0.1899635379
230	0.1895552842
231	0.1877614033
232	0.1870655382
233	0.1864286474
234	0.1856825934
235	0.1849247664
236	0.1842430993
237	0.1831523646
238	0.18259035
239	0.1816213649
240	0.180780325
241	0.1799510136
242	0.1793285579
243	0.1780647048
244	0.1767298528
245	0.1754122177
246	0.1745038367
247	0.1730769623
248	0.1715511763
249	0.1710222464
250	0.1698383218
251	0.1684621867
252	0.1673916902
253	0.1662936281
254	0.1649801766
255	0.1637316069
256	0.1632635555
257	0.1619592567
258	0.1609529129
259	0.1604901203
260	0.1593455126
261	0.158518872
262	0.157850683
263	0.157450823
264	0.1567037514
265	0.1558014501
266	0.1548780031
267	0.1543594947
268	0.1529857971
269	0.1517166229
270	0.1509160607
271	0.1501373271
272	0.1491244406
273	0.1486618382
274	0.1475821124
275	0.1472333831
276	0.1462208399
277	0.1455961311
278	0.1448345209
279	0.1439777008
280	0.1435002531
281	0.1428501591
282	0.1418717311
283	0.1411840791
284	0.140133035
285	0.1393061901
286	0.1382741291
287	0.1378841377
288	0.1366761785
289	0.1361336842
290	0.1354191446
291	0.13477006
292	0.1342451526
293	0.1326924029
294	0.1318167787
295	0.1311558592
296	0.1302307515
297	0.1298484457
298	0.1289966908
299	0.1283917544
300	0.1274119879
301	0.1269111885
302	0.1262718241
303	0.1257979324
304	0.1251144893
305	0.1241591189
306	0.1232914002
307	0.1231462811
308	0.1224887387
309	0.121830408
310	0.1213948888
311	0.1208805687
312	0.1199241255
313	0.1192267639
314	0.1187005364
315	0.1182526151
316	0.1178188243
317	0.1168475473
318	0.1160639883
319	0.1152423029
320	0.114602111
321	0.1138047722
322	0.1134562102
323	0.1129357935
324	0.1125176656
325	0.1121251053
326	0.1113525355
327	0.1106441508
328	0.1101847763
329	0.1099548484
330	0.1094694281
331	0.10909327
332	0.1085868166
333	0.1083979657
334	0.1077894124
335	0.107274197
336	0.1065499744
337	0.106134294
338	0.1056115366
339	0.1052038669
340	0.1048029524
341	0.1041795242
342	0.1039712052
343	0.1036691577
344	0.1034157255
345	0.103234153
346	0.102804805
347	0.1024504402
348	0.1019189552
349	0.1015420576
350	0.1009910117
351	0.1006305808
352	0.1002747197
353	0.1000693481
354	0.09972277399
355	0.09920852182
356	0.09859424831
357	0.09810866422
358	0.09786507727
359	0.09761974938
360	0.09705970045
361	0.09681642502
362	0.09585536268
363	0.09567714898
364	0.09522811698
365	0.09487503716
366	0.09469070883
367	0.09431433958
368	0.09376614035
369	0.09334460662
370	0.09283143831
371	0.09224151037
372	0.0918944795
373	0.09115072909
374	0.09097488687
375	0.09054169632
376	0.08962543861
377	0.08880504757
378	0.08852176371
379	0.08792927663
380	0.08745064587
381	0.08701176965
382	0.08682327318
383	0.08622599495
384	0.08605314502
385	0.08575669429
386	0.08524293467
387	0.08488473816
388	0.0846106175
389	0.08423665753
390	0.08390393786
391	0.08364837421
392	0.08305736138
393	0.08277539312
394	0.08258896429
395	0.08191849704
396	0.08133027449
397	0.08103713803
398	0.08071118054
399	0.08032482529
400	0.07982034188
401	0.07931042591
402	0.07911283981
403	0.07873768044
404	0.07837334279
405	0.07817123721
406	0.07776133898
407	0.07728065152
408	0.07671982909
409	0.07662163952
410	0.07639303093
411	0.07567520832
412	0.07547556105
413	0.07504916042
414	0.07476729148
415	0.07450327037
416	0.07408004698
417	0.07334999559
418	0.07306319771
419	0.07266338245
420	0.07232558832
421	0.07228031214
422	0.0720978302
423	0.07174438789
424	0.07141616977
425	0.07110765153
426	0.07065389192
427	0.0702580296
428	0.07001722894
429	0.06953392236
430	0.06921039953
431	0.06899988431
432	0.06868914286
433	0.06820702342
434	0.06798629151
435	0.06754931522
436	0.06701119152
437	0.06674027513
438	0.06627666552
439	0.06592163056
440	0.06532868671
441	0.06488551784
442	0.06477420961
443	0.0646129904
444	0.064291501
445	0.06410597903
446	0.06381844974
447	0.06358227735
448	0.0630820615
449	0.06289831057
450	0.06251459808
451	0.06223485942
452	0.06183021472
453	0.06138917498
454	0.06118160585
455	0.06088368289
456	0.06048630402
457	0.06016686646
458	0.05978968958
459	0.0595804818
460	0.05938384996
461	0.05913178611
462	0.05891427957
463	0.05860178973
464	0.05836744401
465	0.05805705079
466	0.0579249039
467	0.05750167939
468	0.05734370743
469	0.05717361668
470	0.05683417179
471	0.05652164691
472	0.05608399569
473	0.05585733818
474	0.05575449362
475	0.05550531239
476	0.05521887463
477	0.0551012482
478	0.05459621291
479	0.05426385487
480	0.05409913012
481	0.05403156399
482	0.05389344634
483	0.05378947231
484	0.05355266966
485	0.05327948801
486	0.05307743155
487	0.05282874811
488	0.05255313068
489	0.05226593676
490	0.05211152081
491	0.05183557821
492	0.05148099363
493	0.05117315803
494	0.0509821879
495	0.05085740876
496	0.05044899429
497	0.05023490732
498	0.05000614291
499	0.04959812772
500	0.04921136252
501	0.0488176799
502	0.04862767213
503	0.04847885062
504	0.04830370634
505	0.04820960412
506	0.04788824825
507	0.04765064926
508	0.04741979607
509	0.04719168263
510	0.04692769485
511	0.04669487728
512	0.04634645844
513	0.04613196624
514	0.04596074349
515	0.04586823868
516	0.04573967024
517	0.04561828693
518	0.04541716345
519	0.045311894
520	0.04504610911
521	0.04491473615
522	0.04468787204
523	0.0444739101
524	0.04430278679
525	0.04393345967
526	0.04382968926
527	0.04375519763
528	0.04355147014
529	0.04337820685
530	0.04325909024
531	0.04297904813
532	0.04267672809
533	0.04237674289
534	0.04214161448
535	0.04192671564
536	0.04152026823
537	0.04140973126
538	0.04116640622
539	0.04091614927
540	0.04056713403
541	0.04029256899
542	0.0400926153
543	0.03987836736
544	0.03979359169
545	0.03971721926
546	0.03960383438
547	0.03944428611
548	0.03928254298
